rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
271,NO,,7,2022,GraphOpt: Constrained-Optimization-Based Parallelization of Irregular Graphs,https://doi.org/10.1109/tpds.2022.3151194,Nimish Shah; Wannes Meert; Marian Verhelst,IEEE Transactions on Parallel and Distributed Systems,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
272,NO,,7,2024,Digitization of the Educational and Scientific Space Based on STEAM Education,https://doi.org/10.1007/978-3-031-53022-7_34,Sofiіa Dembitska; Olha Kuzmenko; I. M. Savchenkо,Lecture notes in networks and systems,No abstract and no LE signals in title/venue/authors.,openalex
273,NO,,7,2020,The Use Of Industrial Design Projects As A Means For Integrating Senior Engineering Design And Engineering Economics,https://doi.org/10.18260/1-2--7494,James Gibson,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
274,NO,,7,2016,Assessing the Impact of Incorporating the NAE Grand Challenges for Engineering as a Multidisciplinary Hands-On Design Project into the Introduction to Engineering Course,https://doi.org/10.18260/p.26320,Haolin Zhu; Amy Trowbridge,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
275,NO,,7,2023,University–industry linkages and agendas for future studies: a systematic literature review and bibliometric analysis,https://doi.org/10.1108/aeds-08-2023-0104,Buddhini Amarathunga; Ali Khatibi; Zunirah Mohd Talib,Asian Education and Development Studies,No LE-discipline signals found.,openalex|semanticscholar
276,NO,,7,2020,Understanding How Freshmen Engineering Students Think They Learn,https://doi.org/10.18260/1-2--12430,Leonhard E. Bernold; Joni E. Spurlin; Cathy L. Crossland,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
277,NO,,7,2010,STRENGTHS AND WEAKNESSES OF PROBLEM-BASED LEARNING IN ENGINEERIING EDUCATION: STUDENTS' AND TUTORS' PERSPECTIVES,,Güçlü Ve; A. Eryılmaz,,No abstract and no LE signals in title/venue/authors.,semanticscholar
278,NO,,7,2007,Mass Customization und Serviceplattformstrategien im Blended Learning Engineering - konzeptionelle Grundlagen und evaluationsgestützte Erfahrungen,,Roland Gabriel; Martin Gersch; Peter Weber,Wirtschaftsinformatik,No abstract and no LE signals in title/venue/authors.,semanticscholar
279,YES,Y,6,2018,The Rise of Learning Engineering,https://doi.org/10.1145/3265972.3242101,Ellen D. Wagner; Jodi Lis,eLearn,Wagner & Lis announcement of ICICLE formation to 'advocate... disciplines of learning engineering'.,openalex|semanticscholar
280,YES,,6,2021,Learning Engineering @ Scale,https://doi.org/10.1145/3430895.3460875,Jim Goodell; Aaron Kessler; Mary Ellen Wiltrout,,Goodell/Kessler/Wiltrout 'Learning Engineering @ Scale' explicitly cites ICICLE definition.,openalex|semanticscholar
281,NO,,6,2023,Machine learning techniques for sequential learning engineering design optimisation,https://doi.org/10.1088/1361-6587/ad11fb,Linda Humphrey; Aleksander Dubas; Luke Fletcher,Plasma Physics and Controlled Fusion,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
282,YES,,6,2017,Learning Engineering,https://doi.org/10.1145/3051457.3054019,Bror Saxberg,,Saxberg 'Learning Engineering' chapter/talk — LE-framed.,openalex|semanticscholar
283,NO,,6,2020,An Information Resource Web Page For A Freshman Problem Based Learning Engineering Course,https://doi.org/10.18260/1-2--7191,Carolyn L. Dull; A. George Havener,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
284,NO,,6,2010,Perspectives on teaching and learning engineering design across four universities,,Rosalie Goldsmith; Carl Reidsema; Hilary Beck,Queensland's institutional digital repository (The University of Queensland),Engineering-education confusable phrasing; no LE venue/figure.,openalex
285,NO,,6,2011,Semantic Web Services for E–learning: Engineering and Technology Domain,https://doi.org/10.7763/ijcte.2011.v3.400,K. Shah; Jayant Gadge,International Journal of Computer Theory and Engineering,No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
286,NO,,6,2014,EXPLORING THE PROBLEMS FACED BY TECHNICAL SCHOOL STUDENTS IN LEARNING ENGINEERING COURSES,,Ramlee Mustapha; Zaharatul Laili Abdul Rahim; Mohamed Nor Azhari Azman,UPSI Digital Repository,Mustapha technical-school engineering problems — EngEd action research.,openalex|semanticscholar
287,NO,,6,2005,Confronting cultural differences: learning engineering as foreigners in a Danish context : a case study of chinese students,,Xiangyun Du; Søren Hansen,VBN Forskningsportal (Aalborg Universitet),"engineering-ed, students as foreigners in Danish program",openalex|semanticscholar
288,NO,,6,2004,Planning and Simulation in an E-Learning Engineering Framework,,Judit Bajnai; Johannes Lischka,EdMedia: World Conference on Educational Media and Technology,No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
289,LIKELY,,6,2016,The 4A Metric Algorithm: A Unique E– Learning Engineering Solution Designed Via Neuroscience To Counter Cheating And Reduce Its Recidivism By Measuring Student Growth Thorough Systemic Sequential Online Learning,https://doi.org/10.26634/jsch.12.2.8217,OSLER II JAMES EDWARD,i-manager s Journal on School Educational Technology,Osler 4A Metric Algorithm 'Unique E-Learning Engineered' solution — self-styled e-learning-engineering; borderline.,openalex|semanticscholar
290,NO,,6,1993,Bridging the Gap and Preparing for Engineering,,Guangming Zhang; James W. Dally,Digital Repository at the University of Maryland (University of Maryland College Park),Engineering-education confusable phrasing; no LE venue/figure.,openalex
291,NO,,6,2020,A Novel Approach To Professional Development,https://doi.org/10.18260/1-2--16813,Robert G. Reeves; Julia Ross; Taryn Bayles,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
292,NO,,6,2019,A Mobile Educational Lab Kit for Fragile Contexts,https://doi.org/10.1109/ghtc46095.2019.9033133,Cláudio Freitas; Jennifer DeBoer,,Freitas EngStarter hardware kit for refugee engineering learners — EngEd.,openalex|semanticscholar
293,NO,,6,2019,Course design and development: Focus on student learning experience,,Pisut Koomsap; Duangthida Hussadintorn Na Ayutthaya; Tomasz Nitkiewicz,RepositóriUM (Universidade do Minho),No LE-discipline signals found.,openalex
294,NO,,6,2010,Work in progress &amp;#x2014; Development of a framework to Assess Sustainability Knowledge (ASK) in engineering undergraduate students,https://doi.org/10.1109/fie.2010.5673618,Ranjani Rao; Alice Pawley; Stephen Hoffmann,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
295,NO,,6,2008,Work in progress - behavioral aspects of student engineering design experiences,https://doi.org/10.1109/fie.2008.4720672,Barbara Karanian; Loutfallah Georges Chedid; Micah Lande,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
296,NO,,6,2013,Evaluation based on personalization using optimized FIRT and MAS framework in engineering education in e-learning environment,https://doi.org/10.1109/icelet.2013.6681657,Nafiseh Saberi; Montazer Gholam Ali,,"Saberi & Gholam Ali OFIRT in engineering e-learning — AIED/ITS, not LE-framed.",openalex|semanticscholar
297,NO,,6,2023,Learning From Failure: Reinvention of a Service-Learning Praxis in a Community-Engaged Engineering Design Course,https://doi.org/10.33596/coll.120,Lindsey Payne; Carly D. Evich; Marcellus Chang,Collaborations A Journal of Community-Based Research and Practice,Engineering-education confusable phrasing; no LE venue/figure.,openalex
298,NO,,6,2013,ENHANCING PEDAGOGY WITH CONTEXT AND PARTNERSHIPS: SCIENCE IN HAND,https://doi.org/10.33225/pec/13.54.07,Andrea C. Burrows; Gabriel Wickizer; Helen Meyer,Problems of Education in the 21st Century,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
299,NO,,6,2016,A novel approach of multimedia instruction applications in engineering education,,Ataollah Zarei; Khairiyah Mohd‐Yusof; Mohd Fadzil Daud,Liverpool John Moores University,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
300,NO,,6,1991,The NASA GAS program: a stepping stone to education,https://doi.org/10.1109/13.79875,Adriano Sacco,IEEE Transactions on Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
301,NO,,6,2017,Understanding the pathways of students with normative attitudes in engineering,https://doi.org/10.1109/fie.2017.8190615,Beverly Ma; Jacqueline Doyle; Jacqueline Rohde,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
302,NO,,6,2023,A survey on several new popular swarm intelligence optimization algorithms,https://doi.org/10.21203/rs.3.rs-2450545/v1,Xiuxi Wei; Huajuan Huang,Research Square,No LE-discipline signals found.,openalex
303,NO,,6,2018,"Leadership development of 21st century engineering millennial students in Khalifa University, United Arab Emirates; problem-based learning in action",https://doi.org/10.18844/prosoc.v5i3.3910,Siobhán O’Sullivan; Chung-Suk Cho; Robert Pech,New Trends and Issues Proceedings on Humanities and Social Sciences,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
304,NO,,6,2024,Fault Diagnosis of Imbalance and Misalignment in Rotor-Bearing Systems Using Deep Learning,https://doi.org/10.2478/pomr-2024-0011,Fayou Liu; Weijia Li; Yaozhong Wu,Polish Maritime Research,ML-engineering sub-field (MLOps/DL eng) without LE context.,openalex|semanticscholar
305,NO,,6,2020,Effect of personality traits in team dynamics and project outcomes in engineering design,,Justine Boudreau; Hanan Anis,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
306,NO,,6,2024,Engineering Judgment and Decision Making in Undergraduate Student Writing,https://doi.org/10.18260/1-2--37066,Royce A. Francis; Marie Paretti; Rachel Riedner,2021 ASEE Virtual Annual Conference Content Access Proceedings,Engineering-education venue (engineering-ed confusable).,openalex
307,NO,,6,2014,Parents as Critical Influe nce: Insights from Five Diffe rent Studies,,Brianna Dorie; Tamecia Jones; Meagan Pollock,Purdue e-Pubs (Purdue University System),Dorie parents' role in engineering education — EngEd pipeline.,openalex
308,NO,,6,2012,Impacts of Project-Based Service-Learning on Attitudes towards Engineering in High School and First-Year Undergraduate Students.,,Malinda Zarske,CU Scholar (University of Colorado Boulder),Engineering-education confusable phrasing; no LE venue/figure.,openalex
309,NO,,6,2016,Barriers to Broadening Participation in Engineering Competition Teams,https://doi.org/10.18260/p.26365,Rui Pan; Randa L. Shehab; Deborah Trytten,,No LE-discipline signals found.,openalex
310,NO,,6,2015,Development of Entrepreneurial Attitudes Assessment Instrument for Freshman Students,https://doi.org/10.18260/p.23874,Todd Fernandez; Genisson Coutinho; Michiko Niikuni Wilson,,Fernandez entrepreneurial attitudes freshman instrument — EngEd.,openalex
311,NO,,6,2019,Predicting student performance over time. A case study for a blended-learning engineering course,,Juan Antonio Martínez; Joaquim Campuzano; T. Sancho-Vinuesa,Learning Analytics Summer Institute Spain,Martinez predicting performance in blended-learning engineering course — LA in EngEd.,semanticscholar
312,NO,,6,2025,Bootstrapping Task Spaces for Self-Improvement,https://doi.org/10.48550/arxiv.2509.04575,Minqi Jiang; Andrei Lupu; Yoram Bachrach,Trans. Mach. Learn. Res.,Jiang ExIt RL for LLMs — 'machine learning engineering' as task domain; ML research.,semanticscholar
313,NO,,6,2002,Active Engagement Pedagogy For An Introductory Solid Mechanics Course,https://doi.org/10.18260/1-2--10747,J. Sandhu; E. Bamberg; Jung‐Wuk Hong,,No abstract and no LE signals in title/venue/authors.,semanticscholar
314,NO,,6,2007,The Role of Design in Wearable Computing,,J. McCann,,No abstract and no LE signals in title/venue/authors.,semanticscholar
315,NO,,6,2015,A Novel Fuzzy Clustering based Modified Firefly Algorithm with Chaotic Map for MRI Brain Tissue Segmentation,,S. Jansi; Dr. P. Subashini,,No abstract and no LE signals in title/venue/authors.,semanticscholar
316,NO,,6,2009,ENGINEERING DESIGN IN THE CREATIVE AGE,https://doi.org/10.24908/pceea.v0i0.3683,R. Fleisig; H. Mahler; V. Mahalec,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
317,NO,,6,2002,[Evaluation of effects of education about a donor card on university or college students].,,Yoshimi Nakayama; M. Ota; Manabu Isshiki,Nihon Koshu Eisei Zasshi (Japanese Journal of Public Health),No abstract and no LE signals in title/venue/authors.,semanticscholar
318,NO,,6,2015,Strategies to Enhance Learning in a Large Engineering Economics Course: Including Students’ Perceived Values in the Instructional Redesign Process,,Kellie S. Grasman; Dan Cernusca,,No abstract and no LE signals in title/venue/authors.,semanticscholar
319,NO,,6,2002,"Look mama, with hands!: on tangible interaction, gestures and learning",https://doi.org/10.1145/778712.778779,J. P. Djajadiningrat; J. Buur,Symposium on Designing Interactive Systems,No abstract and no LE signals in title/venue/authors.,semanticscholar
320,YES,,5,2022,Learning Engineering is Ethical,https://doi.org/10.4324/9781003276579-11,Jordan Richard Schoenherr,,Schoenherr 'Learning Engineering is Ethical' — LE Toolkit chapter on LE ethics.,openalex
321,NO,,5,2020,Simultaneous Development of a Self-learning Engineering Assistance System,https://doi.org/10.1007/978-3-030-61902-2_6,Christopher Sauer; Benjamin Schleich; Sandro Wartzack,Lecture notes in production engineering,"SLASSY sheet-bulk metal forming assistance system — manufacturing engineering, not LE.",openalex|semanticscholar
322,YES,,5,2023,Engaging in Student-Centered Educational Data Science Through Learning Engineering,https://doi.org/10.1007/978-981-99-0026-8_1,Rachel Van Campenhout; Bill Jerome; Benny G. Johnson,Big data management,Van Campenhout/Jerome/Johnson 'Engaging in Student-Centered Educational Data Science Through Learning Engineering'.,openalex
323,NO,,5,2013,UNDERGRADUATE SERVICE-LEARNING ENGINEERING DESIGN PROJECTS IN ECUADOR,https://doi.org/10.14684/copecwc.v5i0.1228,Rob Gradoville; Daniel D. Budny,Proceedings of COPEC World Congress,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
324,YES,,5,2021,The Role of Participatory Codesign in a Learning Engineering Framework to Support Classroom Implementation of an Adaptive Instructional System,https://doi.org/10.1007/978-3-030-77857-6_19,Kelly J. Sheehan; Meagan Rothschild; Sarah Buchan,Lecture notes in computer science,Sheehan et al. 'Role of Participatory Codesign in a Learning Engineering Framework' — LE-framed AIS work.,openalex|semanticscholar
325,NO,,5,2017,Challenges encountered by elementary education major students when learning engineering,https://doi.org/10.1109/fie.2017.8190702,Devayan Bir; Dagney Paskach; Grace Wilkins,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
326,NO,,5,2024,A Rubik’s Cube-Inspired Pedagogical Tool for Teaching and Learning Engineering Ethics,https://doi.org/10.1007/s11948-024-00506-z,Yang Peng,Science and Engineering Ethics,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
327,NO,,5,2008,A Knowledge Building approach for learning engineering: a case study of GENSO (student satellite) project,,Jens Frederik Dalsgaard Nielsen; Xiangyun Du; Anette Kolmos,VBN Forskningsportal (Aalborg Universitet),Engineering-education confusable phrasing; no LE venue/figure.,openalex
328,NO,,5,2016,Learning Engineering and Teaching Engineering: Comparing the Engineering Epistemologies of Two Novice Teachers with Distinct Pedagogies of Design,https://doi.org/10.18260/p.25535,Kristen Wendell; Jessica Swenson; Tejaswini Dalvi,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
329,NO,,5,2008,"Linking Project-Based Interdisciplinary Learning And Recommended Professional Competencies With Business Management, Digital Media, Distance Learning, Engineering Technology, And English",https://doi.org/10.19030/tlc.v5i5.1255,Melinda A. Bender; Miles Fulwider; Michael J. Stemkoski,Journal of College Teaching & Learning (TLC),Bender project-based learning across disciplines — EngTech/BizMgmt curriculum.,openalex|semanticscholar
330,NO,,5,2016,From zero to one : integrating engineering and non-engineering students in a service-learning engineering project,,C. K. Lau; Kwk Lo; Stephen Chan,PolyU Institutional Research Archive (Hong Kong Polytechnic University),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
331,NO,,5,2015,The International Cooperation on Remote Laboratories in the Framework of Engineering Didactics,https://doi.org/10.3991/ijep.v5i1.3917,Raivo Sell; Tiia Rüütmann,International Journal of Engineering Pedagogy (iJEP),Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
332,YES,Y,5,2021,Designing Ethical Agency for Adaptive Instructional Systems: The FATE of Learning and Assessment,https://doi.org/10.1007/978-3-030-77857-6_18,Jordan Richard Schoenherr,Lecture notes in computer science,Schoenherr FATE paper is in provided LE corpus and applies LE-framed ethical design.,openalex
333,NO,,5,2020,Implementation of virtual reality in technical education: an innovative view,https://doi.org/10.1504/ijmie.2020.109702,Ahm Shamsuzzoha; Mahmood Al Kindi; Timo Kankaanpää,International Journal of Management in Education,Engineering-education confusable phrasing; no LE venue/figure.,openalex
334,NO,,5,2023,An Overview of the Literature on Design Thinking in Education and Educational Research,https://doi.org/10.54097/jeer.v2i3.7745,Yufeng Sun; Cuichun Wang; Sang Hu,Journal of Education and Educational Research,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
335,NO,,5,2016,Design thinking and service-learning for first-year engineering students,,Matthew T. Siniawski; Sandra Guillen Luca; José Antonio López Sáez,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
336,NO,,5,2023,"Equity, Diversity, and Inclusion in Educational Technology Research and Development",https://doi.org/10.1007/978-3-031-36336-8_8,Adele Smolansky; Huy A. Nguyen; René F. Kizilcec,Communications in computer and information science,No abstract and no LE signals in title/venue/authors.,openalex
337,NO,,5,2018,"Culture, Identity, and Motivation in Engineering Education",https://doi.org/10.18404/ijemst.428160,Mack Shelley; Şenay Purzer,International Journal of Education in Mathematics Science and Technology,Shelley & Purzer special-issue editorial — engineering education.,openalex|semanticscholar
338,NO,,5,2024,Automating ML Models Using MLOPS,https://doi.org/10.1109/assic60049.2024.10507923,N Sirisha; Ajmeera Kiran; Mohammad Yusof Arshad,,ML-engineering sub-field (MLOps/DL eng) without LE context.,openalex|semanticscholar
339,NO,,5,2016,Google forms that made Teacher's Life Easier: An Experience and Experimentation,https://doi.org/10.16920/jeet/2016/v0i0/111610,Rohith Hallur,Journal of Engineering Education/Journal of engineering education transformations/Journal of engineering education transformation,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
340,LIKELY,,5,2020,An Ambient and Pervasive Personalized Learning Ecosystem: “Smart Learning” in the Age of the Internet of Things,https://doi.org/10.1007/978-3-030-50788-6_2,Anastasia Betts; Khanh-Phuong Thai; Sunil Gunderia,Lecture notes in computer science,"Betts et al. APPLE ecosystem 'calling for applications of learning engineering approaches'; LE invoked, smart-learning framing primary.",openalex|semanticscholar
341,NO,,5,2010,"""Understanding Understanding"" Across the Disciplines: Towards Strategies for Sustainable Engineering Education for the 21st Century",https://doi.org/10.1109/tee.2010.5508815,Cecilia Moloney,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
342,NO,,5,2020,Importance of Undergraduate Research in Engineering Technology Programs,https://doi.org/10.18260/1-2--21497,Sidi Berri; Andy Zhang; Gaffar Gailani,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
343,NO,,5,2021,Functional Analysis of Components Manufactured by a Sheet-Bulk Metal Forming Process,https://doi.org/10.3390/jmmp5020049,Andreas Hetzel; Robert Schulte; Manfred Vogel,Journal of Manufacturing and Materials Processing,"SLASSY workbench for SBMF components — manufacturing, not LE.",openalex|semanticscholar
344,NO,,5,2021,Embedding Sustainability across the Built Environment Curriculum and Beyond,,Mark Kelly,Arrow@dit (Dublin Institute of Technology),Engineering-education confusable phrasing; no LE venue/figure.,openalex
345,NO,,5,2008,Assessment of Student Learning of Design Skills from a First-Semester Design Project,https://doi.org/10.13031/2013.25378,Kyle R. Douglas‐Mankin,Transactions of the ASABE,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
346,NO,,5,2002,Effective methods and tools for training engineers and technologists: regional trends,,Paul W. Magoha,,No LE-discipline signals found.,openalex|semanticscholar
347,NO,,5,2013,Transferable Skills Development in Engineering Students: Analysis of Service-Learning Impact,https://doi.org/10.1007/978-94-007-7762-0_6,Donna M. Rizzo; Mandar M. Dewoolkar; Nancy J. Hayden,Philosophy of engineering and technology,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
348,NO,,5,2024,Work in Progress Pilot Study: Virtual Reality for Computational Thinking Foundations and STEM Enrichment,https://doi.org/10.18260/1-2--38113,Katherine Shirey; Magesh Chandramouli,2021 ASEE Virtual Annual Conference Content Access Proceedings,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
349,NO,,5,2023,Data Engineering and Data Science,https://doi.org/10.1002/9781119841999,,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
350,NO,,5,2007,"The Relationship Between Personality Types, Learning Styles and ProblemSolving Approach of Technical and Vocational Education Students",,Widad Othman; Rio Sumarni; Ming Foong Lee,Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
351,NO,,5,2023,Learning Automata and Their Applications to Intelligent Systems,https://doi.org/10.1002/9781394188536,Junqi Zhang; MengChu Zhou,,No LE-discipline signals found.,openalex
352,NO,,5,2020,Is A Successful Research Laboratory Possible With Undergraduate Students Alone?,https://doi.org/10.18260/1-2--12981,Juan M. López; Roger V. Gonzalez; Paul Leiffer,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
353,NO,,5,2024,Making People and Projects: Implications for Designing Making-Based Learning Experiences,https://doi.org/10.18260/1-2--29225,Micah Lande; Shawn Jordan; Steven Weiner,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
354,NO,,5,,Semantic Web Services for e-Learning : Engineering and Technology Domain,,Krupal Shah; Jayant Gadge,,No abstract and no LE signals in title/venue/authors.,semanticscholar
355,NO,,5,2020,B O T ORCH : Bayesian Optimization in PyTorch,,M. Balandat; B. Karrer; Daniel R. Jiang,,No abstract and no LE signals in title/venue/authors.,semanticscholar
356,NO,,5,2015,Use of BIM for learning engineering – Change of paradigm,,E. Hjelseth,,No abstract and no LE signals in title/venue/authors.,semanticscholar
357,NO,,5,2003,Engineering first at Northwestern University: Where we are in 2003,,S. Carr,,No abstract and no LE signals in title/venue/authors.,semanticscholar
358,NO,,5,2025,Teaching to whom and with whom: the role of context in developing preservice teachers’ self-efficacy for teaching engineering and coding via robotics,https://doi.org/10.1007/s10798-024-09955-w,Jennifer Kidd; Kristie S. Gutierrez; M. Lee,International Journal of Technology and Design Education,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
359,YES,,4,2021,Learning Engineering as an Ethical Framework,https://doi.org/10.1007/978-3-030-77857-6_7,Rachel Van Campenhout,Lecture notes in computer science,Van Campenhout 'Learning Engineering as an Ethical Framework' — LE-framed.,openalex|semanticscholar
360,YES,,4,2022,Learning Engineering Uses Data (Part 1): Instrumentation,https://doi.org/10.4324/9781003276579-9,Erin Czerwinski; Jim Goodell; STEVE RITTER,,Czerwinski/Goodell/Ritter LE Toolkit chapter on data instrumentation in the LE process.,openalex
361,NO,,4,1996,Learning engineering: The key to automatic knowledge acquisition,https://doi.org/10.1017/s0890060400001360,Tomasz Arciszewski,Artificial intelligence for engineering design analysis and manufacturing,Arciszewski 1996 defines 'learning engineering' as a subarea of knowledge engineering for auto-KA — different field entirely.,openalex|semanticscholar
362,YES,,4,2022,Learning Engineering Uses Data (Part 2): Analytics,https://doi.org/10.4324/9781003276579-10,Michelle Barrett; Erin Czerwinski; Jim Goodell,,Barrett/Czerwinski/Goodell LE Toolkit chapter on LE analytics.,openalex
363,ADJACENT,,4,2007,Critical factors in the socio-cultural e-Learning engineering process,https://doi.org/10.1504/ijceell.2007.013663,Stephanos Mavromoustakos; Andreas S. Andreou; Κaterina Papanikolaou,International Journal of Continuing Engineering Education and Life-Long Learning,Mavromoustakos 'critical factors in socio-cultural e-Learning engineering process' — adjacent e-learning-engineering tradition.,openalex|semanticscholar
364,NO,,4,2006,Creating the Context for Learning Engineering: A Seminar for Freshmen,https://doi.org/10.1109/fie.2006.322309,Charles R. Standridge; M. M. Kundrat; Claudia Pedreros-oviedo,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
365,NO,,4,2016,Usage of 3D Computer Modelling in Learning Engineering Graphics,https://doi.org/10.5772/65217,Zorana Jeli; Branislav Popokonstantinovic; Miša Stojičević,InTech eBooks,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
366,NO,,4,2020,Service Learning Engineering Design Activities At Western Michigan University To Support K 12 Stem Education,https://doi.org/10.18260/1-2--14647,Betsy Aller; Edmund Tsang; Andrew Kline,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
367,NO,,4,2019,THE EMPLOYMENT OF LEARNING STRATEGIES IN LEARNING ENGINEERING TERMINOLOGY AMONG ENGINEERING UNDERGRADUATES,https://doi.org/10.31580/apss.v4i1.658,Amri Muaz Azmimurad; Najah Osman,Asia Proceedings of Social Sciences,Azmimurad vocabulary strategies for engineering undergrads — ESP study.,openalex|semanticscholar
368,NO,,4,2020,An Initial Analysis Of Student Engagement While Learning Engineering Via Video Game,https://doi.org/10.18260/1-2--15985,Brianno Coller; David J. Shernoff,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
369,NO,,4,2019,Predicting student performance over time: a case study for a blended-learning engineering course,,Juan Antonio Martínez Carrascal; Joaquín Campuzano Puntí; Teresa Sancho Vinuesa,,No abstract and no LE signals in title/venue/authors.,openalex
370,NO,,4,2007,A study on the potential of using remote labs for e-learning engineering courses in Malaysian universities,,Abdullah Mohd Zın; Hasnim Harun,,No LE-discipline signals found.,openalex|semanticscholar
371,NO,,4,2015,Investigation of using wiki to facilitate group composition in learning engineering knowledge: a quasi-experimental study,,Pao‐Nan Chou; Wei‐Fan Chen; Hsin Ting Lin,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
372,NO,,4,1968,Learning Engineering(&lt;Minor Special Issue&gt; Productive Management of Small Quantity Production),https://doi.org/10.1299/jsmemag.71.596_1251,Kozi Morooka,Nihon Kikai Gakkaishi/Journal of the Japan Society of Mechanical Engineers,"1968 Japanese mechanical engineering journal, unrelated field",openalex|semanticscholar
373,NO,,4,2017,When non-engineering students work on an international service-learning engineering project — A case study,https://doi.org/10.1109/ghtc.2017.8239292,Kenneth W. K. Lo; C. K. Lau; Stephen Chan,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
374,NO,,4,2024,Examining the impact of head‐mounted augmented reality on learning engineering drawings: A case study for three‐view drawing,https://doi.org/10.1002/cae.22716,Qingshu Yuan; Kailiang Shou; Jin Xu,Computer Applications in Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
375,NO,,4,2009,Using a model-building task to compare the design process of service learning and non-service learning engineering students,,Adam Carberry; Chris Rogers; Chris Swan,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
376,NO,,4,2020,"Nurture Motivated, Confident, And Strategic Learners In Engineering Through Cognitive And Psychological Instruction For An Entry Level Course",https://doi.org/10.18260/1-2--5222,Wei Zheng; Gordon W. Skelton; Hui-Ru Shih,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
377,YES,Y,4,2024,“Why did we do that?” A Systematic Approach to Tracking Decisions in the Design and Iteration of Learning Experiences,https://doi.org/10.59668/1269.15630,Lauren Totino; Aaron Kessler,,Totino & Kessler LEED tracker — 'learning engineering team at MIT'; in-corpus.,openalex|semanticscholar
378,NO,,4,2008,Product life-cycle management tools and collaborative tools applied to an automotive case study,,David A. Guerra-Zubiaga; H. Elizalde; C.I. Riviera,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex
379,NO,,4,2020,Successful Women Engineering Students: A Survey Assessment To Guide Our Efforts To Boost Women’s Retention,https://doi.org/10.18260/1-2--16809,Daniel Knight; Katie Corner; Beverly Louie,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
380,NO,,4,2013,Intelligent Information and Database Systems,https://doi.org/10.1007/978-3-642-36543-0,Ali Selamat; Ngoc Thanh Nguyên; Habibollah Haron,Lecture notes in computer science,No abstract and no LE signals in title/venue/authors.,openalex
